[2019-06-24T10:11:46.040] [INFO] default - [::1 GET / 304 4ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:11:46.078] [INFO] default - [::1 GET /public/img/icon1.png 304 20ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:11:46.079] [INFO] default - [::1 GET /public/img/icon2.png 304 20ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:11:46.082] [INFO] default - [::1 GET /public/css/login.css 200 25ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:11:46.198] [INFO] default - [::1 GET /public/img/bg2.jpg 304 1ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:21.059] [INFO] default - [::1 GET / 304 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:12:21.082] [INFO] default - [::1 GET /public/img/icon1.png 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:12:21.085] [INFO] default - [::1 GET /public/css/login.css 200 5ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:12:21.086] [INFO] default - [::1 GET /public/img/icon2.png 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:12:21.174] [INFO] default - [::1 GET /public/img/bg2.jpg 304 1ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:12:41.761] [INFO] default - [::1 GET / 304 1ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:41.782] [INFO] default - [::1 GET /public/css/login.css 200 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:41.784] [INFO] default - [::1 GET /public/img/icon1.png 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:41.786] [INFO] default - [::1 GET /public/img/icon2.png 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:41.912] [INFO] default - [::1 GET /public/img/bg2.jpg 304 1ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:45.873] [INFO] default - [::1 GET / 304 1ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:45.891] [INFO] default - [::1 GET /public/css/login.css 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:45.892] [INFO] default - [::1 GET /public/img/icon1.png 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:45.893] [INFO] default - [::1 GET /public/img/icon2.png 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:45.988] [INFO] default - [::1 GET /public/img/bg2.jpg 304 1ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:53.009] [INFO] default - [::1 GET / 304 0ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:53.025] [INFO] default - [::1 GET /public/img/icon1.png 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:53.026] [INFO] default - [::1 GET /public/img/icon2.png 304 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:53.028] [INFO] default - [::1 GET /public/css/login.css 200 7ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:53.115] [INFO] default - [::1 GET /public/img/bg2.jpg 304 0ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:12:59.150] [INFO] default - [::1 GET /public/css/login.css 304 1ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:14:31.356] [INFO] default - [::1 GET / 304 1ms][ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:14:31.417] [INFO] default - [::1 GET /public/img/icon1.png 304 41ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:14:31.418] [INFO] default - [::1 GET /public/img/icon2.png 304 41ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:14:31.435] [INFO] default - [::1 GET /public/css/login.css 200 60ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:14:31.522] [INFO] default - [::1 GET /public/img/bg2.jpg 304 0ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Linux; Android 8.0; Pixel 2 Build/OPD3.170816.012) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Mobile Safari/537.36]
[2019-06-24T10:14:38.419] [INFO] default - [::1 GET /public/css/login.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T10:15:28.740] [INFO] default - test info 1
[2019-06-24T10:18:27.711] [INFO] default - test info 1
[2019-06-24T12:51:49.655] [INFO] default - test info 1
[2019-06-24T12:52:38.467] [INFO] default - [::1 GET / 200 21ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:38.509] [INFO] default - [::1 GET /public/css/login.css 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:38.511] [INFO] default - [::1 GET /public/img/icon1.png 304 3ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:38.511] [INFO] default - [::1 GET /public/img/icon2.png 304 4ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:38.521] [INFO] default - [::1 GET /public/js/login.js 200 6ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:38.527] [INFO] default - [::1 GET /public/img/bg2.jpg 304 2ms][http://localhost:3000/public/css/login.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2019-06-24T12:52:41.842] [INFO] default - [::1 POST /login 200 20ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
